n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,35,2,7331,0.5,with_constraint_tc,104,0.5417,0.3514,0.6486,0.1377
300,0.4,0.2,35,2,7331,0.5,no_constraint,139,0.6111,0.275,0.725,0.2218
300,0.4,0.2,35,2,104729,0.5,with_constraint_adj,148,0.8116,0.2917,0.7083,0.2586
300,0.4,0.2,35,2,104729,0.5,with_constraint_tc,88,0.6232,0.4019,0.5981,0.1217
300,0.4,0.2,35,2,104729,0.5,no_constraint,102,0.7101,0.363,0.637,0.1635
300,0.4,0.0,35,2,3407,0.5,with_constraint_adj,143,0.8667,0.3266,0.6734,0.2577
300,0.4,0.0,35,2,3407,0.5,with_constraint_tc,117,0.7333,0.3571,0.6429,0.1904
300,0.4,0.0,35,2,3407,0.5,no_constraint,101,0.7867,0.4041,0.5959,0.1673
300,0.4,0.0,35,2,7331,0.5,with_constraint_adj,126,0.8056,0.3392,0.6608,0.2161
300,0.4,0.0,35,2,7331,0.5,with_constraint_tc,82,0.6389,0.4381,0.5619,0.1128
300,0.4,0.0,35,2,7331,0.5,no_constraint,126,0.6389,0.3087,0.6913,0.1969
300,0.4,0.0,35,2,104729,0.5,with_constraint_adj,138,0.8551,0.3122,0.6878,0.2471
300,0.4,0.0,35,2,104729,0.5,with_constraint_tc,96,0.6522,0.3782,0.6218,0.1407
300,0.4,0.0,35,2,104729,0.5,no_constraint,93,0.7536,0.4031,0.5969,0.1464
300,0.6,0.2,35,2,3407,0.5,with_constraint_adj,199,0.8933,0.2587,0.7413,0.3692
300,0.6,0.2,35,2,3407,0.5,with_constraint_tc,67,0.7067,0.5354,0.4646,0.0885
300,0.6,0.2,35,2,3407,0.5,no_constraint,130,0.7867,0.3333,0.6667,0.2269
300,0.6,0.2,35,2,7331,0.5,with_constraint_adj,173,0.875,0.2763,0.7237,0.3155
300,0.6,0.2,35,2,7331,0.5,with_constraint_tc,86,0.5694,0.4227,0.5773,0.1071
300,0.6,0.2,35,2,7331,0.5,no_constraint,106,0.7222,0.3741,0.6259,0.1663
300,0.6,0.2,35,2,104729,0.5,with_constraint_adj,165,0.942,0.2876,0.7124,0.3061
300,0.6,0.2,35,2,104729,0.5,with_constraint_tc,89,0.5942,0.3942,0.6058,0.1198
300,0.6,0.2,35,2,104729,0.5,no_constraint,96,0.7391,0.3864,0.6136,0.154
300,0.6,0.0,35,2,3407,0.5,with_constraint_adj,182,0.9333,0.2823,0.7177,0.3423
300,0.6,0.0,35,2,3407,0.5,with_constraint_tc,83,0.7467,0.4628,0.5372,0.125
300,0.6,0.0,35,2,3407,0.5,no_constraint,130,0.76,0.3295,0.6705,0.2231
300,0.6,0.0,35,2,7331,0.5,with_constraint_adj,158,0.875,0.2972,0.7028,0.2849
300,0.6,0.0,35,2,7331,0.5,with_constraint_tc,86,0.6806,0.4336,0.5664,0.1224
300,0.6,0.0,35,2,7331,0.5,no_constraint,101,0.6806,0.3712,0.6288,0.1587
300,0.6,0.0,35,2,104729,0.5,with_constraint_adj,131,0.9275,0.3368,0.6632,0.2395
300,0.6,0.0,35,2,104729,0.5,with_constraint_tc,91,0.6232,0.3909,0.6091,0.1274
300,0.6,0.0,35,2,104729,0.5,no_constraint,106,0.6957,0.3478,0.6522,0.1711
